"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Vcard_DToL00007",608.329082980386,0.0101608528566976,0.638745403462937,0.0159075162053784,0.987308173697075,0.999373147410838
"Vcard_DToL00008",1.21384030733767,0.0384963540375713,3.26110916493282,0.0118046811960569,0.990581445875676,0.999580698077079
"Vcard_DToL00010",3730.2378276485,0.491855981910449,0.553832248451289,0.888095598054922,0.374489330310245,0.999354146715139
"Vcard_DToL00011",394.303389125948,0.636773819746952,0.545116838436805,1.16814190068497,0.242749531287042,0.999354146715139
"Vcard_DToL00012",385.176808710855,0.45838137231086,0.515866089294713,0.888566590871585,0.374236052887297,0.999354146715139
"Vcard_DToL00013",339.330462641144,0.531591822515804,0.510191880317215,1.04194488980358,0.297437230296304,0.999354146715139
"Vcard_DToL00014",14876.2832840344,0.22350740983412,0.471383927563817,0.474151528647233,0.635391855566985,0.999354146715139
"Vcard_DToL00015",4615.82394086622,-0.142219184090157,0.345993231940936,-0.41104614472469,0.681038698837731,0.999354146715139
"Vcard_DToL00016",173.017710068146,-0.233301689744735,0.424188245531781,-0.549995649814052,0.58232235731934,0.999354146715139
"Vcard_DToL00017",43.0701854807568,0.253774588471745,0.75675880823718,0.3353440828299,0.737365543602957,0.999354146715139
"Vcard_DToL00018",41.5176956883287,-0.910072963385769,0.601112638384897,-1.51398075048131,0.130030721765143,0.999354146715139
"Vcard_DToL00020",68.2416026537984,-0.218578467206007,0.365206675130922,-0.598506221518677,0.549502208874733,0.999354146715139
"Vcard_DToL00021",6335.03462861353,-0.539685101399176,0.317223488171446,-1.70127724308831,0.0888909391513623,0.973334154767696
"Vcard_DToL00022",49.6403196517178,-0.606812470426391,0.617611880901092,-0.982514244287296,0.325846568985875,0.999354146715139
"Vcard_DToL00023",22.9156615857596,0.121657497873666,0.776604622649552,0.156653069432688,0.875518275471161,0.999354146715139
"Vcard_DToL00024",1396.22703887298,-0.367429169903764,0.284356457470161,-1.29214287297246,0.196307670937442,0.999354146715139
"Vcard_DToL00026",1134.66220484934,-0.313003930117799,0.339979807292493,-0.920654472424339,0.357230852838854,0.999354146715139
"Vcard_DToL00028",124.903163421101,-0.166392924296914,0.381485782493039,-0.436170709192683,0.662712877867287,0.999354146715139
"Vcard_DToL00029",55.8533492139697,-0.363483121972789,0.621920619065207,-0.584452598659828,0.558915847619785,0.999354146715139
"Vcard_DToL00033",218.998633141535,0.227841807602747,0.336897181786228,0.676294786423356,0.498853502230791,0.999354146715139
"Vcard_DToL00034",837.777978548381,0.43789742209061,0.321774592480295,1.3608825318221,0.173550814638328,0.999354146715139
"Vcard_DToL00035",46189.5416453069,0.0754003455586836,0.339357483932033,0.222185598163454,0.824169404938581,0.999354146715139
"Vcard_DToL00037",1912.9197914504,-0.301962472171541,0.333740327690457,-0.904782692164219,0.365580522660042,0.999354146715139
"Vcard_DToL00039",128.974795232527,-0.097528616141298,0.378528240152845,-0.257652153249959,0.796675375703242,0.999354146715139
"Vcard_DToL00040",320.49178693874,-0.183404277207425,0.343742957559736,-0.533550646417397,0.593652461846932,0.999354146715139
"Vcard_DToL00041",17.5840583585701,0.210133260653728,1.09902933549485,0.191198955175399,0.848369722165058,0.999354146715139
"Vcard_DToL00044",75.1456922572358,0.014232130015217,0.572152478183412,0.0248747153213494,0.980154895243095,0.999373147410838
"Vcard_DToL00045",27.9453133161636,-0.353828197105049,0.702264051202838,-0.503839256044806,0.614374339257733,0.999354146715139
"Vcard_DToL00047",91.0707401388876,-0.296593207219896,0.408328115658091,-0.726359992972527,0.467618110242608,0.999354146715139
