"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","delabel","V2"
"Vcard_DToL04008",17.5508081021926,30,3.365741214257,8.91334124944678,4.95172843206409e-19,5.69300217834409e-15,"UP","Vcard_DToL04008","E3 SUMO-protein ligase"
"Vcard_DToL04786",13.5905730572477,-6.07179905112922,1.2585311905075,-4.82451217492734,1.40346344756417e-06,0.00268926987610755,"DOWN","Vcard_DToL04786","pickpocket"
"Vcard_DToL06310",6.7267888383632,18.3535332693268,3.40548217486741,5.38940811517871,7.06901108499951e-08,0.000203181051110598,"UP","Vcard_DToL06310","E3 SUMO-protein ligase"
"Vcard_DToL15410",3.26708179107401,-21.0686545805144,3.39043896165544,-6.21413770275555,5.1607257035135e-10,2.96664317066473e-06,"DOWN","Vcard_DToL15410","uncharacterized"
"Vcard_DToL16791",2.43811454667604,17.6938513074819,3.41137587857062,5.18671994447462,2.14030215307018e-07,0.000492141077076957,"UP","Vcard_DToL16791","trehalose transporter Tret1-2"
"Vcard_DToL17225",1.19349899730409,-19.2096987843096,3.38149317760854,-5.6808332222912,1.34040132300198e-08,5.1368646701846e-05,"DOWN","Vcard_DToL17225","NADH dehydrogenase ubiquinone"
