"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Vcard_DToL00007",969.173802081331,0.426176021670046,0.371963130466532,1.14574802383106,0.251899426840557,0.999897399399492
"Vcard_DToL00010",7938.41572570276,0.560474242322079,0.567184092749089,0.988169889612934,0.323069452002866,0.999897399399492
"Vcard_DToL00011",524.038393148757,0.627580724994317,0.616704945308857,1.0176353048053,0.308851302871672,0.999897399399492
"Vcard_DToL00012",918.687686069185,0.7727107571963,0.482331743657243,1.6020317289036,0.109148593379751,0.999897399399492
"Vcard_DToL00013",827.563283794632,0.684297924729303,0.538326835681284,1.27115699863501,0.203672801086655,0.999897399399492
"Vcard_DToL00014",21697.1059157078,0.341565223761188,0.440766451896967,0.774934712683242,0.438378239016746,0.999897399399492
"Vcard_DToL00015",1785.37139934805,0.142895674786686,0.437702277725761,0.326467743163576,0.744070490753455,0.999897399399492
"Vcard_DToL00016",687.286921732258,-0.0687944754091071,0.211405829585327,-0.325414278045443,0.7448675507525,0.999897399399492
"Vcard_DToL00017",145.237287863072,0.499969809147875,0.648299992633532,0.771201318569959,0.440587612768508,0.999897399399492
"Vcard_DToL00018",164.543021609509,0.354814923899079,0.304165492598872,1.16651932100333,0.243404541525939,0.999897399399492
"Vcard_DToL00020",101.954680101705,-0.0146666562476271,0.315458087307934,-0.0464932009598797,0.962917153076114,0.999897399399492
"Vcard_DToL00021",2879.36239797441,0.0689547246928895,0.318082490072913,0.216782522914365,0.828377832786689,0.999897399399492
"Vcard_DToL00022",19.5008762825952,0.275495533748264,0.610860504231887,0.45099581956879,0.65199256194538,0.999897399399492
"Vcard_DToL00023",68.0834656582954,-0.140292698811479,0.541731723727814,-0.258970801720978,0.795657769004449,0.999897399399492
"Vcard_DToL00024",2159.18740972672,0.0303008828048408,0.28516230097297,0.106258375323297,0.915377356239494,0.999897399399492
"Vcard_DToL00026",1544.71395325026,0.0856681227338821,0.301160114326004,0.284460387211657,0.776057587058802,0.999897399399492
"Vcard_DToL00028",231.886354220764,-0.177274069080247,0.20408416199971,-0.868632172841022,0.385048351225217,0.999897399399492
"Vcard_DToL00029",114.883695897711,-0.473674839596895,0.414801006769552,-1.14193271440166,0.253481989088494,0.999897399399492
"Vcard_DToL00033",405.689183855322,0.160979245151679,0.236661994348223,0.680207422383229,0.496373133259139,0.999897399399492
"Vcard_DToL00034",2207.00325061558,0.0416634208400249,0.1868021044587,0.223035072119524,0.823508210324122,0.999897399399492
"Vcard_DToL00035",41456.9197898566,0.218950765365364,0.406059586403591,0.539208462739615,0.589743021644576,0.999897399399492
"Vcard_DToL00037",1819.2621783947,0.188466894483805,0.254656003978914,0.740084237320437,0.459248882522075,0.999897399399492
"Vcard_DToL00039",73.95247733252,-0.380969138979509,0.260994481304957,-1.45968273763754,0.144377288319538,0.999897399399492
"Vcard_DToL00040",313.571034191544,-0.278201321159097,0.237486818054834,-1.17143900212122,0.241422362828799,0.999897399399492
"Vcard_DToL00044",63.6752892370063,0.0744399540392555,0.343166159896321,0.216921021763177,0.828269894643502,0.999897399399492
"Vcard_DToL00045",26.7157068108548,0.170577933618837,0.48617985054399,0.350853564638633,0.72569820962121,0.999897399399492
"Vcard_DToL00047",483.547734444654,0.303363221942994,0.255734698270591,1.18624192960318,0.235526772043027,0.999897399399492
"Vcard_DToL00048",7752.17020733412,0.0168373051594283,0.272619900185702,0.0617611008879363,0.950753081315137,0.999897399399492
"Vcard_DToL00050",1.70979718803267,1.01183510147949,1.29515893947157,0.781243962144387,0.434659021840918,0.999897399399492
"Vcard_DToL00051",403.110580606027,-0.223133438388599,0.28350296640395,-0.787058566684156,0.431247582559733,0.999897399399492
"Vcard_DToL00053",1944.04540944323,0.181588447204851,0.195824032780911,0.927304195639832,0.35376861655507,0.999897399399492
"Vcard_DToL00055",870.778893507788,-0.0124458262359269,0.345111570249732,-0.0360631961047285,0.971231968480238,0.999897399399492
"Vcard_DToL00056",499.399103874534,0.219199677543925,0.266318014549093,0.823074916336602,0.410465392103246,0.999897399399492
"Vcard_DToL00057",735.391207508924,-0.262121831054143,0.255623818346683,-1.0254202161187,0.305164953317114,0.999897399399492
"Vcard_DToL00058",176.807131441681,-0.0438846547028148,0.203536331915972,-0.215610914718323,0.829291047195356,0.999897399399492
"Vcard_DToL00060",452.008592887563,-0.231564846679288,0.296552258427905,-0.780856797067975,0.43488672434113,0.999897399399492
"Vcard_DToL00061",67.7060544678514,-0.68005531054924,0.35816405923586,-1.89872571804143,0.0576005482866091,0.999897399399492
"Vcard_DToL00062",31.7526761211831,0.398630003872296,0.322630417126132,1.23556237326641,0.216621278213601,0.999897399399492
"Vcard_DToL00063",320.811278716087,-0.222732988875852,0.253258741478897,-0.879468118554209,0.379147512023842,0.999897399399492
"Vcard_DToL00064",1.63854072498031,0.00686685557821177,1.41106456290957,0.00486643613531936,0.996117161067197,0.999897399399492
"Vcard_DToL00065",50.8719725686364,0.251050838831918,0.415128996397005,0.604753801856393,0.545342593895081,0.999897399399492
"Vcard_DToL00069",2.12366762203847,-0.000409562792553345,1.05400733091264,-0.000388576796898285,0.999689960580871,0.999897399399492
"Vcard_DToL00071",27.5341998136924,-0.167028856971922,0.48431748998374,-0.344874716330253,0.730188559249214,0.999897399399492
"Vcard_DToL00077",509.014794020301,0.0651876662441322,0.365341606029724,0.178429352606581,0.858385799111949,0.999897399399492
"Vcard_DToL00079",277.98051182312,-0.260310771172612,0.252709937147118,-1.03007730567029,0.302973717611765,0.999897399399492
"Vcard_DToL00080",412.504361386457,-0.0987128048860603,0.169450573583728,-0.582546301250996,0.560198763572029,0.999897399399492
"Vcard_DToL00081",9428.38304493763,0.228836742420091,0.358321272104076,0.638635660887095,0.52305997679493,0.999897399399492
"Vcard_DToL00083",48.4576123251307,0.135688382663275,0.406206990812458,0.334037536852538,0.738351233590282,0.999897399399492
"Vcard_DToL00084",82.3789195186643,-0.341715441295403,0.382009226480679,-0.894521434582905,0.371042966596233,0.999897399399492
"Vcard_DToL00085",3707.05657042237,0.100472953572661,0.16300451958209,0.616381397462185,0.537642828026989,0.999897399399492
"Vcard_DToL00087",126.624457158972,0.157230230993288,0.194611641876533,0.807917910137357,0.419137840255185,0.999897399399492
"Vcard_DToL00089",2.01065603959576,1.43576709557178,1.29982456186157,1.10458529381497,0.269339326283886,0.999897399399492
"Vcard_DToL00090",107.613064665714,0.0575256366497701,0.273164163118129,0.210589983668148,0.833207228917353,0.999897399399492
"Vcard_DToL00091",174.984582334711,0.273571226900419,0.296932938127487,0.921323274627628,0.356881673118356,0.999897399399492
"Vcard_DToL00093",33.0873952457816,-0.183770152333297,0.376520713889696,-0.488074481838822,0.625497085267434,0.999897399399492
"Vcard_DToL00095",79.8900055639348,-0.51687973970328,0.270262765347897,-1.91250814383521,0.055811049062772,0.999897399399492
