"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","delabel"
"1","Vcard_DToL00007",1359.85079361882,0.0261680511272346,0.294279484650125,0.0889224444522404,0.92914354611539,0.999931754022432,"NO",NA
"2","Vcard_DToL00010",6567.47084187017,0.560168289080429,0.315548623876451,1.77522019332195,0.0758615367360281,0.87646243932729,"NO",NA
"3","Vcard_DToL00011",370.017585503474,0.367905604025124,0.441226426520097,0.833824952251282,0.404379632287606,0.999931754022432,"NO",NA
"4","Vcard_DToL00012",1146.74471976172,0.304098317658957,0.418976211183463,0.725812849373916,0.467953508677918,0.999931754022432,"NO",NA
"5","Vcard_DToL00013",1211.27359708552,0.735131523289227,0.473558790056537,1.55235535423482,0.120577219803118,0.999931754022432,"NO",NA
"6","Vcard_DToL00014",17344.8628385097,0.215376722534269,0.282913446209116,0.761281322680835,0.446489053899863,0.999931754022432,"NO",NA
"7","Vcard_DToL00015",1710.13834945709,-0.289260418525348,0.364016178532754,-0.794636160654383,0.426825177381773,0.999931754022432,"NO",NA
"8","Vcard_DToL00016",1210.36629517798,0.542114646222324,0.266889889451727,2.03122961059331,0.0422317079626197,0.668081860934805,"NO",NA
"9","Vcard_DToL00017",418.857155779986,0.581337713878171,0.362911913756557,1.6018700181558,0.109184355690996,0.999931754022432,"NO",NA
"10","Vcard_DToL00018",418.067188995844,0.443647535954819,0.347390668125335,1.27708535853575,0.201572113382004,0.999931754022432,"NO",NA
"11","Vcard_DToL00020",149.239798978485,-0.254097609225963,0.528278725893889,-0.480991561407305,0.630522496240287,0.999931754022432,"NO",NA
"12","Vcard_DToL00021",1592.0813006351,-0.551839756547638,0.310236253507836,-1.7787726299167,0.0752770461526458,0.873196568427441,"NO",NA
"13","Vcard_DToL00022",16.7432308052962,-1.22625877445407,1.36048219665928,-0.901341287276815,0.367406888044543,0.999931754022432,"NO",NA
"14","Vcard_DToL00023",136.508927681052,-0.0603272072939611,0.542056833570441,-0.111293140419604,0.911383894766809,0.999931754022432,"NO",NA
"15","Vcard_DToL00024",4190.04204916947,0.361746342215641,0.26453882413701,1.36746030907087,0.171481069969159,0.999931754022432,"NO",NA
"16","Vcard_DToL00026",2319.16448848453,-0.0891640901505229,0.239538907874234,-0.372232181159217,0.709719987731927,0.999931754022432,"NO",NA
"17","Vcard_DToL00028",421.068060583211,0.214694280567593,0.389847070005546,0.550714105827546,0.581829673380716,0.999931754022432,"NO",NA
"18","Vcard_DToL00029",106.794998899776,-0.375601633397341,0.599386184123133,-0.626643795513612,0.530892753532352,0.999931754022432,"NO",NA
"19","Vcard_DToL00033",390.342197513612,0.600369827712477,0.362618759861978,1.65565021495577,0.0977926747801421,0.978215221768324,"NO",NA
"20","Vcard_DToL00034",3146.91048593014,0.453889930536278,0.270236654237056,1.67960165070027,0.0930348463129987,0.954279129985352,"NO",NA
"21","Vcard_DToL00035",44648.1662544515,0.264882024838009,0.271037968466783,0.977287522985814,0.328426828318674,0.999931754022432,"NO",NA
"22","Vcard_DToL00037",1375.98879817931,-0.628386690875374,0.282520287608264,-2.22421793562195,0.026133784898689,0.517660471527409,"NO",NA
"23","Vcard_DToL00039",113.42348361389,-0.0428544520030444,0.604794303826155,-0.0708578962002967,0.943510853069673,0.999931754022432,"NO",NA
"24","Vcard_DToL00040",347.738269537543,-0.0157612050434558,0.406656192530393,-0.0387580598376794,0.969083283091972,0.999931754022432,"NO",NA
"25","Vcard_DToL00044",103.532829052077,-0.257939982026396,0.607023173739272,-0.424926087149988,0.670890556852371,0.999931754022432,"NO",NA
"26","Vcard_DToL00045",38.1756743512058,0.217336110634702,0.91590830786023,0.237290249219868,0.812431626112098,0.999931754022432,"NO",NA
"27","Vcard_DToL00047",783.951917487703,0.626674219777362,0.31673669127612,1.97853370650718,0.0478685299797195,0.713258463452184,"NO",NA
"28","Vcard_DToL00048",12188.60155157,0.125015818947238,0.234701985648438,0.532657696107014,0.594270555217264,0.999931754022432,"NO",NA
"29","Vcard_DToL00051",385.394132396129,0.0262225938889637,0.38498646944718,0.0681130272620177,0.945695660186173,0.999931754022432,"NO",NA
"30","Vcard_DToL00053",2821.36128550295,0.0571132409004742,0.330896440510148,0.172601557189378,0.862964627810063,0.999931754022432,"NO",NA
"31","Vcard_DToL00055",575.095618665624,-0.525702344171113,0.37658777933621,-1.39596230418772,0.162725846945588,0.999931754022432,"NO",NA
"32","Vcard_DToL00056",582.595721995981,0.673845128512116,0.386521300156193,1.74335833042013,0.0812710422247764,0.904562705199836,"NO",NA
"33","Vcard_DToL00057",665.168578294923,-0.323644522879486,0.363352851622023,-0.890716892504689,0.373081070009243,0.999931754022432,"NO",NA
"34","Vcard_DToL00058",98.1131047597857,0.111715327421024,0.61461228348516,0.181765529949292,0.855766736956293,0.999931754022432,"NO",NA
"35","Vcard_DToL00060",642.058690278643,-1.16727136063254,0.332936629130147,-3.50598660076013,0.000454918120617534,0.0318936661927901,"NO",NA
"36","Vcard_DToL00061",46.4329145823551,-0.420199861703655,0.873419692471432,-0.481097306742256,0.63044734215502,0.999931754022432,"NO",NA
"37","Vcard_DToL00062",32.121158847219,-0.420280179870877,0.994110835781936,-0.42276994148273,0.672463120419866,0.999931754022432,"NO",NA
"38","Vcard_DToL00063",387.876076363522,-0.0603842983010619,0.356371905140808,-0.169441803436226,0.865449144461827,0.999931754022432,"NO",NA
"39","Vcard_DToL00065",70.5960177300353,3.01704488726531,0.881684583500878,3.42190953967418,0.000621829984850498,0.039512659597053,"UP","Vcard_DToL00065"
"40","Vcard_DToL00071",31.2119681423639,-0.0950136492333404,1.04091727884776,-0.0912787703346755,0.927271086377086,0.999931754022432,"NO",NA
"41","Vcard_DToL00077",723.377852769562,-0.120493320471883,0.391634178490596,-0.307668040966901,0.75833494044936,0.999931754022432,"NO",NA
"42","Vcard_DToL00079",355.682257958125,0.021408964054768,0.388321380195719,0.0551320765392254,0.956033241614887,0.999931754022432,"NO",NA
"43","Vcard_DToL00080",390.401733960969,0.107872481795559,0.439947895378261,0.245193767100106,0.806306402251091,0.999931754022432,"NO",NA
"44","Vcard_DToL00081",3799.43262724815,-0.521490988239571,0.276434177660634,-1.88649244696429,0.0592286252721177,0.78557080168612,"NO",NA
"45","Vcard_DToL00083",69.58265917562,-0.236319769336329,0.763042812591321,-0.309707090397429,0.75678371036679,0.999931754022432,"NO",NA
"46","Vcard_DToL00084",91.6605753007596,0.674991994989118,0.664142179535299,1.01633658543026,0.309469132294972,0.999931754022432,"NO",NA
"47","Vcard_DToL00085",5526.10397661102,0.26458721997397,0.247571374091837,1.06873107177497,0.285190866296226,0.999931754022432,"NO",NA
"48","Vcard_DToL00087",248.721602495942,-0.130880207948878,0.441090526344548,-0.29671960772661,0.766680586052342,0.999931754022432,"NO",NA
"49","Vcard_DToL00090",153.010300887487,0.400536223642221,0.656557489682727,0.61005506743328,0.541825329894091,0.999931754022432,"NO",NA
"50","Vcard_DToL00091",258.510616032142,0.228654406318497,0.64551376240619,0.354220807727126,0.723173410926336,0.999931754022432,"NO",NA
"51","Vcard_DToL00093",43.8334182324308,0.343338509063571,0.867038647904027,0.395989855692771,0.692112511832693,0.999931754022432,"NO",NA
"52","Vcard_DToL00095",105.631089372467,-0.17362352496886,0.595984121359137,-0.291322400625227,0.770804756844172,0.999931754022432,"NO",NA
"53","Vcard_DToL00097",32.9766663118339,-0.245836813312918,1.18069867161597,-0.208213000677346,0.835062657966041,0.999931754022432,"NO",NA
"54","Vcard_DToL00099",812.566020375479,-0.36229071937033,0.416209010822624,-0.870453810344649,0.384052450868279,0.999931754022432,"NO",NA
"55","Vcard_DToL00101",209.291295821049,-0.0793560972529347,0.489120901673352,-0.162242294249635,0.871115054986364,0.999931754022432,"NO",NA
"56","Vcard_DToL00106",25.6082368543059,-0.269142157121667,1.13794220756094,-0.236516543048831,0.813031871884368,0.999931754022432,"NO",NA
"57","Vcard_DToL00109",9.40612262470488,-0.421819033119824,1.78194418158594,-0.236718432304878,0.812875234412688,0.999931754022432,"NO",NA
"58","Vcard_DToL00110",11.4483112192408,-0.583769522426912,1.55891129140154,-0.374472573036581,0.708052758235787,0.999931754022432,"NO",NA
"59","Vcard_DToL00111",272.898742021447,-0.0486874071313316,0.403135438577074,-0.120771836143161,0.903871758287427,0.999931754022432,"NO",NA
"60","Vcard_DToL00112",357.809168964619,0.0685620890531539,0.430265360717862,0.159348381981677,0.873394404382449,0.999931754022432,"NO",NA
"61","Vcard_DToL00113",7615.55563296157,0.230618764550493,0.326783740573195,0.705722886169234,0.480360485646647,0.999931754022432,"NO",NA
"62","Vcard_DToL00114",49897.2508631481,-0.176455948869305,0.238414248324061,-0.740123336208747,0.459225159976778,0.999931754022432,"NO",NA
"63","Vcard_DToL00121",59.7831554585475,-0.195321110222336,0.763806781535775,-0.255720576124772,0.798166605862788,0.999931754022432,"NO",NA
"64","Vcard_DToL00123",8.24167906008724,-1.44240749887975,1.7890917246791,-0.806223336111213,0.420114085457273,0.999931754022432,"NO",NA
"65","Vcard_DToL00124",324.589015411953,-0.469281074673961,0.379380500696466,-1.23696677560511,0.216099417483698,0.999931754022432,"NO",NA
"66","Vcard_DToL00125",171.811829387594,-0.544943926664156,0.68023559074045,-0.80111057710311,0.423067633443581,0.999931754022432,"NO",NA
"67","Vcard_DToL00128",6617.54745738194,0.222661950490147,0.40136394013954,0.55476321667745,0.579056629826925,0.999931754022432,"NO",NA
"68","Vcard_DToL00130",28.5359091188675,-0.186056905306517,1.10550448169343,-0.168300453220698,0.866346917330193,0.999931754022432,"NO",NA
"69","Vcard_DToL00132",476.137371476656,0.355444518205934,0.450962874472488,0.788190199962058,0.430585460585997,0.999931754022432,"NO",NA
"70","Vcard_DToL00134",696.558291505148,-1.11627092251136,0.410788772431168,-2.71738420674192,0.00658001751874314,0.220919202040178,"NO",NA
"71","Vcard_DToL00135",9678.96759412694,0.00308847696250437,0.244183064044368,0.012648202997171,0.989908463176404,0.999931754022432,"NO",NA
"72","Vcard_DToL00136",667.392239709128,0.346582797003882,0.312128043111421,1.11038660143767,0.266832469359132,0.999931754022432,"NO",NA
"73","Vcard_DToL00137",266.756822808222,-0.709668993539413,0.489352036840428,-1.45022180375807,0.146996676717833,0.999931754022432,"NO",NA
"74","Vcard_DToL00139",14.6341042463537,-0.823281191981947,1.62427140763126,-0.506861838553552,0.612251763402081,0.999931754022432,"NO",NA
"75","Vcard_DToL00141",45.9072947857395,0.760933726786591,0.860171870678022,0.884629866106633,0.376356293119835,0.999931754022432,"NO",NA
"76","Vcard_DToL00143",1123.33127870144,0.00413105098668374,0.43551824633482,0.00948536834323089,0.99243188453226,0.999931754022432,"NO",NA
