"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Vcard_DToL00065",70.5960177300353,3.01704488726531,0.881684583500878,3.42190953967418,0.000621829984850498,0.039512659597053
"Vcard_DToL02380",862.595032141052,2.37010489424769,0.389113927811502,6.09103073636531,1.1218600711801e-09,5.43461071624529e-07
"Vcard_DToL02381",330.326164836794,2.20798685844901,0.41480595814517,5.32293911187332,1.0210392909719e-07,2.80730613704247e-05
"Vcard_DToL03441",1195.24407170154,2.12260090329683,0.495106362810477,4.28716143183429,1.80970780839356e-05,0.00248785912632266
"Vcard_DToL04448",403.672402807272,3.04034063052835,0.516804792482735,5.88295750107604,4.02999434073172e-09,1.63988529713055e-06
"Vcard_DToL04556",132.861278846245,21.0579625395283,5.94800915611295,3.54033794952827,0.000399614961491553,0.0294585724873447
"Vcard_DToL04712",225.770013177116,2.37633655840034,0.515285172158554,4.6116921013771,3.99404306292902e-06,0.000712831580336437
"Vcard_DToL04721",143.021492621109,2.96662497759679,0.637690873936677,4.65213647998887,3.28513526451245e-06,0.000642686173959329
"Vcard_DToL05659",379.269672267313,2.16070123560396,0.397393119179205,5.43718834404273,5.41279130851959e-08,1.72076018692406e-05
"Vcard_DToL06636",9835.790850813,4.46198183332765,0.248442834826535,17.9597927887236,4.02306771720118e-72,2.04633339435438e-68
"Vcard_DToL06652",51.4460097504085,8.54603806825815,2.28619358130594,3.73810780422907,0.000185410446798824,0.0164015693502995
"Vcard_DToL06735",67.7548980314428,8.4445225226214,2.39677281104487,3.52328868372802,0.000426226831956556,0.030971468296386
"Vcard_DToL07064",115.450077750011,6.63454757045716,0.956910442687367,6.93330041610251,4.1113381453198e-12,3.80224026839439e-09
"Vcard_DToL08688",258.357736287262,3.07623636770122,0.565150477502787,5.44321643554843,5.23270033585024e-08,1.71716969408402e-05
"Vcard_DToL08807",1816.20840461818,5.5455278354594,0.979893901845458,5.65931456968491,1.51978759634697e-08,5.52171400629919e-06
"Vcard_DToL09601",4912.56618090485,3.75881853549209,0.433805332349393,8.66475871823696,4.52470238941034e-18,9.20595948149427e-15
"Vcard_DToL09865",1071.43803483987,2.9264249086262,0.333063406416182,8.78638977519334,1.5444307553026e-18,3.92787351842334e-15
"Vcard_DToL10800",147.859927966368,2.71566202954667,0.566470165773693,4.79400715806027,1.63482436759946e-06,0.000339409556971211
"Vcard_DToL12358",160.351251715408,2.95481566984841,0.870307605564888,3.39513943225917,0.000685936579079088,0.0424427637306058
"Vcard_DToL12394",182.847365174241,2.05225590308805,0.597578703261886,3.4342855457964,0.000594117978299824,0.0387433473925905
